metaneighbor_cluster,metaneighbor_cluster_label,cross_species_cluster,subclass,subclass_color,within_species_clusters,number_of_clusters,present_in_species,number_of_species
sst_sst_chodl_pvalb|30,Sst_5,Sst_5,Sst,#ff9900,"human|Sst_4, human|Sst_5, human|Sst_6, human|Sst_7, chimp|Sst_11, chimp|Sst_12, gorilla|Sst_1, gorilla|Sst_2, gorilla|Sst_3, rhesus|Sst_12, marmoset|Sst_10, marmoset|Sst_11",12,"human, chimp, gorilla, rhesus, marmoset",5
sst_sst_chodl_pvalb|29,Sst_6,Sst_6,Sst,#ff9900,"human|Sst_25, human|Sst_26, chimp|Sst_5, gorilla|Sst_14, gorilla|Sst_15, rhesus|Sst_10, rhesus|Sst_8, rhesus|Sst_9, marmoset|Sst_1, marmoset|Sst_12",10,"human, chimp, gorilla, rhesus, marmoset",5
sst_sst_chodl_pvalb|27,Sst_13,Sst_7,Sst,#ff9900,"human|Sst_23, chimp|Sst_7, gorilla|Sst_11",3,"human, chimp, gorilla",3
sst_sst_chodl_pvalb|28,Sst_14,Sst_7,Sst,#ff9900,"human|Sst_24, marmoset|Sst_15",2,"human, marmoset",2
sst_sst_chodl_pvalb|22,Sst_7,Sst_7,Sst,#ff9900,"human|Sst_16, human|Sst_17, human|Sst_19, chimp|Sst_14, gorilla|Sst_12, rhesus|Sst_2, rhesus|Sst_3, marmoset|Sst_2",8,"human, chimp, gorilla, rhesus, marmoset",5
sst_sst_chodl_pvalb|25,Sst_8,Sst_8,Sst,#ff9900,"human|Sst_20, human|Sst_21, human|Sst_3, chimp|Sst_13, chimp|Sst_8, gorilla|Sst_8, gorilla|Sst_9, rhesus|Sst_13, marmoset|Sst_14, marmoset|Sst_16",10,"human, chimp, gorilla, rhesus, marmoset",5
sst_sst_chodl_pvalb|32,Sst_9,Sst_9,Sst,#ff9900,"human|Sst_9, chimp|Sst_2, gorilla|Sst_18, rhesus|Sst_4, rhesus|Sst_5, marmoset|Sst_3, marmoset|Sst_5",7,"human, chimp, gorilla, rhesus, marmoset",5
lamp5_sncg_vip|24,Vip_1,Vip_1,Vip,#a45fbf,"human|Vip_21, human|Vip_22, chimp|Vip_9, gorilla|Vip_15, rhesus|Vip_7, marmoset|Vip_2",6,"human, chimp, gorilla, rhesus, marmoset",5
lamp5_sncg_vip|20,Vip_10,Vip_2,Vip,#a45fbf,"human|Vip_17, gorilla|Vip_3",2,"human, gorilla",2
lamp5_sncg_vip|21,Vip_11,Vip_2,Vip,#a45fbf,"human|Vip_19, chimp|Vip_13",2,"human, chimp",2
